newest_detection,Month,Quarter,DOY,confidence,num_fires,centroid.latitude,centroid.longitude
2020-06-14T11:42:07+00:00,June,Q2,166,1,32,-11.60389631,37.95160003
2020-06-15T09:38:35+00:00,June,Q2,167,1,42,-12.16349807,37.92211248
2020-06-14T11:42:07+00:00,June,Q2,166,0.75,20,-11.54042985,38.5922001
2020-06-14T09:47:19+00:00,June,Q2,166,0.75,4,-11.76622475,38.5755615
2020-06-16T01:01:57+00:00,June,Q2,168,0.75,26,-11.74278965,38.35527341
2020-06-21T12:49:56+00:00,June,Q2,173,1,187,-11.78622394,37.79029429
2020-06-14T11:42:07+00:00,June,Q2,166,0.75,18,-11.7948985,38.56645017
2020-06-14T11:42:07+00:00,June,Q2,166,0.5,11,-11.49594791,38.09739609
2020-06-14T20:59:21+00:00,June,Q2,166,0.75,12,-12.17556988,37.99991375
2020-06-16T12:47:46+00:00,June,Q2,168,1,69,-11.63749297,38.77745725
2020-06-15T01:23:37+00:00,June,Q2,167,1,73,-11.49362686,38.83645899
2020-06-15T09:38:35+00:00,June,Q2,167,0.5,11,-11.43897027,38.62597091
2020-06-19T09:33:15+00:00,June,Q2,171,1,101,-11.69976738,38.20478053
2020-06-17T21:16:15+00:00,June,Q2,169,1,46,-11.8174872,37.9257934
2020-06-15T01:23:37+00:00,June,Q2,167,0.5,37,-11.77291876,38.6088383
2020-06-17T12:27:55+00:00,June,Q2,169,1,73,-12.14769157,38.03490521
2020-06-16T01:01:57+00:00,June,Q2,168,0.5,26,-11.85240581,38.09796038
2020-06-18T21:35:59+00:00,June,Q2,170,1,173,-11.86115974,37.75309332
2020-06-21T21:20:17+00:00,June,Q2,173,1,138,-11.63416544,38.27604811
2020-06-18T12:11:10+00:00,June,Q2,170,1,71,-11.71136148,38.02160178
2020-06-16T10:03:51+00:00,June,Q2,168,0.75,24,-11.433605,38.37208644
2020-06-18T12:11:10+00:00,June,Q2,170,0.75,42,-11.53966705,37.9052869
2020-06-21T12:49:56+00:00,June,Q2,173,1,70,-12.44434745,37.92039492
2020-06-17T09:40:58+00:00,June,Q2,169,0.75,15,-11.73944358,37.95354642
2020-06-18T10:00:01+00:00,June,Q2,170,0.5,6,-12.06389783,38.703488
2020-06-18T12:11:10+00:00,June,Q2,170,0.5,13,-11.84386208,37.96614946
2020-06-19T21:10:27+00:00,June,Q2,171,0.5,6,-11.30579283,38.65800267
2020-06-18T21:35:59+00:00,June,Q2,170,0.5,10,-12.160716,38.467343
2020-06-21T01:10:51+00:00,June,Q2,173,1,102,-11.71598669,38.31720721
2020-06-19T11:46:36+00:00,June,Q2,171,1,34,-11.6636055,37.83835676
2020-06-19T11:46:36+00:00,June,Q2,171,0.75,18,-11.76311433,38.58385194
2020-06-20T10:00:52+00:00,June,Q2,172,0.75,37,-11.57081114,37.82240386
2020-06-19T21:10:27+00:00,June,Q2,171,0.75,25,-11.42758763,38.6408215
2020-06-19T20:57:37+00:00,June,Q2,171,0.5,4,-11.80268975,38.68587875
2020-06-20T09:57:14+00:00,June,Q2,172,0.5,4,-12.1044265,37.696509
2020-06-20T09:57:14+00:00,June,Q2,172,0.75,32,-11.89231194,38.61979175
2020-06-20T11:33:55+00:00,June,Q2,172,0.75,40,-11.78488075,38.1162372
2020-06-20T10:00:52+00:00,June,Q2,172,0.5,7,-11.78041257,38.004902
2020-06-20T10:00:52+00:00,June,Q2,172,0.75,9,-12.43324967,37.98063478
2020-06-21T21:20:17+00:00,June,Q2,173,1,81,-12.34536501,38.41449894
2020-06-20T13:11:26+00:00,June,Q2,172,0.5,21,-11.71219081,37.73341571
2020-06-20T21:40:55+00:00,June,Q2,172,0.5,5,-11.3040728,38.7838396
2020-06-21T09:34:17+00:00,June,Q2,173,0.5,14,-12.25812464,38.46917779
2020-06-21T09:34:17+00:00,June,Q2,173,1,30,-12.21427577,38.1759373
